customer_id,first_name,last_name,gender,age,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,64,93,Executive Secretary,Health,Mass Customer,N,Yes,11.0
2,Eli,Bockman,Male,37,81,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0
3,Arlin,Dearle,Male,63,61,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
4,Talbot,None,Male,56,33,Missing,IT,Mass Customer,N,No,7.0
5,Sheila-kathryn,Calton,Female,40,56,Senior Editor,Missing,Affluent Customer,N,Yes,8.0
6,Curr,Duckhouse,Male,51,35,Missing,Retail,High Net Worth,N,Yes,13.0
7,Fina,Merali,Female,41,6,Missing,Financial Services,Affluent Customer,N,Yes,11.0
8,Rod,Inder,Male,55,31,Media Manager I,Missing,Mass Customer,N,No,7.0
9,Mala,Lind,Female,44,97,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
10,Fiorenze,Birdall,Female,29,49,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0
11,Uriah,Bisatt,Male,63,99,Missing,Property,Mass Customer,N,No,9.0
12,Sawyere,Flattman,Male,23,58,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0
13,Gabriele,Norcross,Male,62,38,Developer I,Financial Services,High Net Worth,N,Yes,8.0
14,Rayshell,Kitteman,Female,34,85,Account Executive,Financial Services,Affluent Customer,N,No,6.0
15,Erroll,Radage,Male,17,91,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
16,Harlin,Parr,Male,40,38,Media Manager IV,Missing,Mass Customer,N,Yes,18.0
17,Heath,Faraday,Male,55,57,Sales Associate,Missing,Affluent Customer,N,Yes,15.0
18,Marjie,Neasham,Female,50,79,Professor,Missing,Affluent Customer,N,No,11.0
19,Sorcha,Keyson,Female,16,76,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
20,Basile,Firth,Male,37,72,Project Manager,Manufacturing,Mass Customer,N,No,11.0
21,Mile,Cammocke,Male,37,74,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0
22,Deeanne,Durtnell,Female,55,79,Missing,IT,Mass Customer,N,No,11.0
23,Olav,Polak,Male,22,43,Missing,Missing,High Net Worth,N,Yes,1.0
24,Kim,Skpsey,Female,40,55,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0
25,Geoff,Assaf,Male,41,72,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0
26,Trixi,Ginnelly,Female,39,12,Editor,Financial Services,Mass Customer,N,Yes,16.0
27,Garvin,Klees,Male,39,37,Research Nurse,Health,Mass Customer,N,Yes,12.0
28,Fee,Zellmer,Male,44,5,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0
29,Mona,Sancraft,Female,49,62,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0
30,Darrick,Helleckas,Male,56,18,Missing,IT,Affluent Customer,N,Yes,6.0
31,Star,Praton,Female,55,3,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0
32,Marion,Vanichkin,Female,22,17,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0
33,Ernst,Hacon,Male,60,44,Product Engineer,Missing,Affluent Customer,N,Yes,11.0
35,Margaretha,Strettle,Female,54,40,Information Systems Manager,Health,High Net Worth,N,Yes,16.0
36,Lurette,Stonnell,Female,40,33,VP Quality Control,Missing,Affluent Customer,N,No,22.0
37,Laurie,Dwerryhouse,Female,32,46,Social Worker,Health,High Net Worth,N,No,16.0
38,Cordi,Merman,Female,62,37,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0
39,Hunfredo,Smalley,Male,38,5,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0
40,Tomasine,Jerche,Female,36,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0
41,Basilius,Coupe,Male,41,64,Food Chemist,Health,Mass Customer,N,No,16.0
42,Chiquita,Durnall,Female,40,24,Accountant III,Manufacturing,Mass Customer,N,No,18.0
43,Indira,Belt,Female,34,38,Director of Sales,Retail,Mass Customer,N,No,5.0
44,Neron,Verick,Male,36,63,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0
45,Trace,Woodhead,Male,42,64,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0
46,Kaila,Allin,Female,45,98,Missing,Missing,Affluent Customer,N,Yes,15.0
47,Matthew,Jeaycock,Male,25,51,Registered Nurse,Health,Affluent Customer,N,No,2.0
48,Rebbecca,Casone,Female,42,46,Biostatistician II,Missing,Mass Customer,N,Yes,8.0
49,Nolly,Ownsworth,Male,23,63,VP Quality Control,Missing,Affluent Customer,N,No,1.0
50,Whitby,Schapero,Male,37,38,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0
51,Fidelio,Dilke,Male,58,68,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0
52,Curran,Bentson,Male,29,57,Missing,Financial Services,Mass Customer,N,Yes,13.0
53,Agnella,Gocke,Female,63,22,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0
54,Loralyn,Wonfor,Female,51,2,Sales Associate,Property,Mass Customer,N,Yes,18.0
55,Linc,Jillions,Male,61,48,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0
56,Reese,Ensor,Male,21,44,VP Sales,Property,Mass Customer,N,Yes,4.0
57,Abba,Masedon,Male,29,87,Chief Design Engineer,Missing,Mass Customer,N,Yes,13.0
58,Dalenna,Pinnock,Female,50,26,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0
59,Niki,Heathcote,Male,17,60,Physical Therapy Assistant,Missing,High Net Worth,N,No,3.0
60,Nadiya,Champerlen,Female,47,18,Missing,Manufacturing,Mass Customer,N,No,10.0
61,Kacey,Rowbottom,Female,58,47,Help Desk Operator,Property,High Net Worth,N,No,13.0
62,Sorcha,Roggers,Female,38,38,Missing,IT,Mass Customer,N,Yes,22.0
63,Ebony,Zini,Female,52,58,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0
64,Gerek,Yve,Male,39,73,Legal Assistant,IT,High Net Worth,N,No,4.0
65,Yale,Tanser,Male,41,21,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0
66,Anselm,Gawne,Male,15,46,Account Executive,Argiculture,High Net Worth,N,No,1.0
67,Vernon,None,Male,57,67,Web Developer II,Retail,Mass Customer,N,No,18.0
68,Dahlia,Eddoes,Female,43,37,Information Systems Manager,Missing,Affluent Customer,N,No,9.0
69,Heidi,Milner,Female,48,16,Web Developer II,Missing,Mass Customer,N,No,6.0
70,Foster,Vannoort,Male,24,78,Paralegal,Financial Services,Affluent Customer,N,No,8.0
71,Hoyt,Glavias,Male,32,30,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0
72,Sammy,Cheese,Male,45,93,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0
73,Minette,Worters,Female,57,16,Teacher,Missing,Affluent Customer,N,Yes,5.0
74,Pansy,Kiddie,Female,48,94,Missing,Missing,Mass Customer,N,Yes,6.0
75,Dollie,Sealy,Female,39,28,VP Product Management,Property,Mass Customer,N,No,19.0
76,Rea,Hasser,Female,39,20,Statistician II,Retail,High Net Worth,N,Yes,18.0
77,Shermie,Andrin,Male,28,79,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0
78,Arch,Van der Kruis,Male,32,37,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0
79,Tybi,Silliman,Female,49,76,Account Executive,Manufacturing,Mass Customer,N,No,18.0
80,Pablo,Small,Male,39,11,Data Coordiator,Entertainment,Mass Customer,N,No,13.0
81,Bee,Blazewicz,Female,31,58,Missing,Health,High Net Worth,N,No,13.0
82,Gleda,Cokely,Female,52,93,Software Test Engineer III,Property,High Net Worth,N,No,19.0
83,Kerr,Simmell,Male,50,97,Internal Auditor,IT,Mass Customer,N,Yes,18.0
84,Rich,Mathiasen,Male,59,78,Accountant III,Missing,Mass Customer,N,Yes,14.0
85,Kane,Tixall,Male,59,1,Analyst Programmer,Missing,Mass Customer,N,No,8.0
86,Job,Sleney,Male,28,75,Occupational Therapist,Health,High Net Worth,N,Yes,7.0
87,Fields,Langdon,Male,43,78,Editor,Financial Services,Mass Customer,N,No,8.0
88,Malynda,Tumber,Female,51,41,Help Desk Operator,Property,High Net Worth,N,Yes,7.0
89,Benedicto,Hoxey,Male,50,74,Speech Pathologist,Health,Mass Customer,N,Yes,14.0
90,Cary,Garron,Male,33,76,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0
91,Dylan,Meaker,Male,62,69,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0
92,Jodee,Judkins,Female,37,98,Recruiting Manager,Health,Mass Customer,N,No,12.0
93,Gordon,Gowar,Male,41,63,Project Manager,Retail,Mass Customer,N,Yes,10.0
94,Wallache,Simchenko,Male,43,33,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0
95,Nomi,Mallinder,Female,57,67,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0
96,Heath,Olford,Male,49,33,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0
97,Arne,Corain,Male,38,16,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0
98,Allianora,Babalola,Female,61,19,Safety Technician IV,Health,Mass Customer,N,No,7.0
99,Reggie,Mulliner,Male,19,97,VP Accounting,Financial Services,Mass Customer,N,No,3.0
100,Tripp,Steed,Male,49,80,General Manager,Financial Services,Mass Customer,N,Yes,4.0
101,Goran,Kwietek,Male,42,83,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0
102,Langsdon,Tranfield,Male,61,51,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0
103,Ethyl,Runham,Female,20,49,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0
104,Odille,Panketh,Female,39,40,Automation Specialist II,Health,Mass Customer,N,Yes,9.0
105,Maribeth,Pristnor,Female,16,25,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0
106,Glyn,None,Male,51,54,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0
107,Pris,Stallebrass,Female,27,97,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0
108,Kayle,Mingaud,Female,23,4,Missing,Missing,High Net Worth,N,No,3.0
109,Cody,Blabey,Male,39,16,Marketing Assistant,Missing,Affluent Customer,N,Yes,4.0
110,Sascha,St. Quintin,Male,17,23,Missing,Financial Services,Affluent Customer,N,No,1.0
111,Cele,Evason,Female,24,65,Analyst Programmer,Missing,Mass Customer,N,No,2.0
112,Shena,Parren,Female,42,88,Marketing Manager,Retail,High Net Worth,N,No,12.0
113,Gage,Nickless,Male,61,67,Staff Scientist,Missing,Mass Customer,N,No,20.0
114,Sunny,Swindells,Female,32,10,Teacher,Entertainment,Affluent Customer,N,No,8.0
115,Alberik,Mereweather,Male,36,77,Account Executive,Health,Mass Customer,N,No,18.0
116,Scottie,Swiffen,Male,18,49,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0
117,Nance,Suttling,Female,35,75,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0
118,Prentice,Pearmain,Male,58,43,Budget/Accounting Analyst IV,Missing,High Net Worth,N,No,19.0
119,Willey,Chastanet,Male,36,9,Associate Professor,Missing,High Net Worth,N,Yes,9.0
120,Sloan,Wagg,Male,39,80,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0
121,Myles,Pauncefort,Male,60,82,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0
